Age,Occupation,Risk Tolerance,Investment Goals,Income Level,Account Balance,Deposits,Withdrawals,Transfers,International Transfers,Investments,Loan Amount,Employment Status,Loan Term (Months),Loan Status,Net Savings,Loan to Income Ratio,Investment Ratio
45,Teacher,High,Wealth preservation,75644.8,100000,15700.14,11078.95,7518.47,601.52,38485.33,50000,Employed,24,rejected,4621.19,0.499995,0.384849452
32,Engineer,Medium,Growth,107365.85,100000,49215.34,18001.41,17563.35,3844.61,13590.63,50000,Retired,24,pending,31213.93,0.499995,0.135904941
52,Lawyer,Medium,Growth,73167.56,63962.75,14581.04,11642.6,7903.36,386.64,3884.47,50000,Unemployed,60,pending,2938.44,0.781692756,0.060729241
66,Retiree,Medium,Income generation,60040.47,29797.02,13314.18,4089.76,2013.93,138.21,5196.38,46325.08,Unemployed,36,approved,9224.42,1.554636181,0.174386755
40,Doctor,Medium,Income generation,106095.24,100000,37005.53,19870.24,19379.3,5070.55,17548.97,50000,Retired,48,pending,17135.29,0.499995,0.175487945
69,Doctor,High,Income generation,64783.97,52324.52,9598.26,6616.33,3297.22,610.32,13270.7,50000,Retired,12,approved,2981.93,0.955556677,0.25361812
32,Doctor,High,Growth,50535.02,45078.76,13168.73,9455.04,6698.93,636.46,4188.84,32893.78,Unemployed,24,approved,3713.69,0.729679572,0.092920637
34,Engineer,Medium,Income generation,122691.1,52493.46,6865.75,5662.57,12891.33,2783.65,7679.55,50000,Employed,48,rejected,1203.18,0.952481462,0.14629258
52,Lawyer,Low,Income generation,157681.24,100000,44956.31,7361.22,17927.84,387.27,11505.85,50000,Unemployed,48,approved,37595.09,0.499995,0.115057349
65,Retiree,Low,Wealth preservation,30722.98,22667.52,2387.82,5269.87,4095.4,1094.17,3949.23,38103.59,Employed,12,approved,-2882.05,1.680903297,0.174216491
57,Student,High,Speculation,76583.57,34049.64,3851.75,9048.09,4335.64,1238.34,6475.71,50000,Retired,24,rejected,-5196.34,1.468401181,0.190178804
57,Teacher,High,Income generation,116810.98,100000,45500.13,20936.52,11260.27,3100.11,15591.25,50000,Self-employed,12,pending,24563.61,0.499995,0.155910941
35,Engineer,Low,Wealth preservation,68009.35,100000,38267,24879.67,24538.37,6250.69,18261.23,50000,Employed,60,approved,13387.33,0.499995,0.182610474
40,Teacher,Medium,Wealth preservation,32342.6,46945.78,23065.4,3380.19,9256.13,1077.91,3236.03,26067.57,Unemployed,36,approved,19685.21,0.55525789,0.068929754
67,Doctor,High,Wealth preservation,55237.84,51851.6,12940.23,5191.73,9002.45,120.81,11956.33,15720.52,Unemployed,60,rejected,7748.5,0.303177083,0.230583037
54,Doctor,Low,Wealth preservation,128429.42,100000,12535.8,14144.37,16784.54,3379.62,12537.23,50000,Retired,24,approved,-1608.57,0.499995,0.125371046
31,Lawyer,Low,Wealth preservation,92796.89,24278.83,11912.73,5152.91,2918.57,354,4737.96,50000,Unemployed,48,pending,6759.82,2.059322491,0.195139752
65,Artist,High,Speculation,95769.97,100000,25510.19,16078.14,13539.44,937.92,17955.19,50000,Employed,12,rejected,9432.05,0.499995,0.179550104
58,Engineer,High,Speculation,39576.49,19329.38,8659.5,4788.88,2094.97,303.84,5336.71,15073.08,Unemployed,12,pending,3870.62,0.779761184,0.276078898
65,Doctor,Low,Wealth preservation,95772.02,100000,17222.07,21993.98,16531.75,4579.92,10535.33,50000,Unemployed,48,approved,-4771.91,0.499995,0.105352246
62,Student,High,Income generation,84290.34,88817.78,32977.07,18384.94,4772.17,269.64,26928.59,33115.74,Self-employed,36,approved,14592.13,0.372846148,0.303185768
82,Artist,Medium,Speculation,26694.46,24831.99,9541.05,5501.25,4047.39,943.33,3357.88,26594.62,Employed,36,pending,4039.8,1.070939102,0.135218514
75,Engineer,Medium,Growth,63657.59,100000,23359.06,23916.24,23535.31,734.8,7806.87,50000,Self-employed,12,approved,-557.18,0.499995,0.078067919
18,Retiree,Low,Speculation,24157.8,28308.16,6510.45,5328.42,6141.91,239.43,3839.8,34600.12,Retired,48,approved,1182.03,1.222223478,0.135638076
73,Teacher,Medium,Income generation,79025.41,100000,21072.81,7801.88,5713.58,1215.29,12547.92,37075.69,Employed,24,approved,13270.93,0.370753192,0.125477945
24,Doctor,High,Growth,64492.22,100000,33863.97,23902.29,12047.1,2632.24,24800.34,50000,Unemployed,60,approved,9961.68,0.499995,0.24800092
84,Artist,Low,Speculation,12882.09,4893.85,1723.2,253.91,353.42,92.47,509.36,5440.11,Unemployed,12,rejected,1469.29,1.111394629,0.10406039
28,Retiree,Low,Speculation,67929.71,59981.83,21587.04,17764.62,5943.74,458.58,7926.5,50000,Self-employed,60,pending,3822.42,0.833571874,0.132146149
33,Teacher,Low,Wealth preservation,83270.62,100000,21397.53,20787.39,20412.95,1718.48,9204.52,50000,Employed,60,pending,610.14,0.499995,0.09204428
34,Doctor,High,Speculation,65583.95,36128.74,17419.42,6772.86,8246.52,460.4,10958.26,50000,Self-employed,36,pending,10646.56,1.383901462,0.303303041
67,Retiree,Low,Growth,129546.05,98811.81,11049.88,15962.67,24276.4,6478.46,12689.75,50000,Employed,24,approved,-4912.79,0.506007268,0.128422115
58,Lawyer,High,Growth,78362.92,90023.87,37444.69,11728.91,17753.23,1177.2,6927.89,50000,Employed,60,pending,25715.78,0.555402079,0.07695529
43,Retiree,High,Income generation,106883.82,100000,21680.98,18510.08,10625.04,2125.96,18666.08,50000,Retired,60,approved,3170.9,0.499995,0.186658933
47,Doctor,Low,Growth,70883.01,1000,293.17,92.92,117.09,5.59,83.36,5000,Retired,48,approved,200.25,4.995004995,0.083276723
44,Student,Low,Income generation,95293.39,59204.63,10588.1,13338.9,8387.48,1660.1,4414.56,15261.68,Self-employed,12,rejected,-2750.8,0.257774134,0.074563179
65,Student,Medium,Growth,97257.67,13635.76,6766.76,2870.51,1746.86,5.32,684.87,50000,Unemployed,48,pending,3896.25,3.666560092,0.05022234
81,Engineer,Medium,Income generation,13114.93,5818.68,2381.58,554.59,334.54,76.62,1054.71,17447.1,Unemployed,24,approved,1826.99,2.997948341,0.181231614
50,Artist,High,Speculation,34135.21,17517.2,6567.16,2437.5,1411.95,2.82,3294.81,6773.21,Retired,12,approved,4129.66,0.386638467,0.188079255
79,Engineer,Low,Income generation,122667.53,100000,46904.53,11551.18,9805.51,873.09,11679.61,50000,Self-employed,48,rejected,35353.35,0.499995,0.116794932
60,Engineer,Low,Income generation,100904.49,75865.04,37711.1,6301.09,15860.66,499.69,8689.46,50000,Self-employed,60,approved,31410.01,0.65905641,0.114536886
64,Retiree,High,Growth,54331.2,57386.03,14368.69,14105.8,6681.51,449.09,17181.31,32892.98,Employed,48,rejected,262.89,0.573177946,0.299393609
28,Lawyer,Medium,Growth,62615.33,9884.75,1361.3,1622.77,674.18,25.87,1881.25,20831.08,Retired,48,approved,-261.47,2.107182561,0.190299168
59,Student,Medium,Wealth preservation,144014.28,100000,40301.05,23310.12,5880.38,1165.43,15056.75,50000,Retired,48,approved,16990.93,0.499995,0.150565994
78,Lawyer,High,Speculation,41995.18,75360.48,21459.92,10225.4,7926.77,3.64,14787.15,31404.55,Retired,36,approved,11234.52,0.41671886,0.19621629
48,Doctor,Low,Wealth preservation,55175.7,28635.69,13516.07,2356.33,2954.07,567.6,5459.11,50000,Employed,36,pending,11159.74,1.746011847,0.190633415
70,Artist,High,Speculation,98516.42,100000,26396.08,23797.97,9270.29,2430.42,8371.22,11489.81,Self-employed,60,approved,2598.11,0.114896951,0.083711363
27,Engineer,Low,Growth,84285.68,83267.47,20417.28,11761.6,8678.27,2463.79,14142.14,50000,Retired,24,rejected,8655.68,0.60046738,0.169837875
75,Lawyer,Low,Speculation,79117.95,100000,14871.32,20757.63,23569.92,2498.72,10872.87,50000,Retired,48,rejected,-5886.31,0.499995,0.108727613
73,Artist,Low,Wealth preservation,42096.89,13200.78,5844.85,2666.5,2159.86,327.86,1503.9,48023.19,Unemployed,36,rejected,3178.35,3.637629926,0.113916457
63,Doctor,Medium,Growth,48338.68,34510.27,5978.85,6277.67,2016.68,238.01,5330.83,40393.87,Unemployed,36,approved,-298.82,1.170454463,0.154466353
24,Student,Medium,Speculation,19101.18,9120.46,3220.56,1573.14,1269.44,4.44,672.57,18531.87,Employed,48,rejected,1647.42,2.031678043,0.073734906
76,Engineer,High,Wealth preservation,26911.82,51245.97,8534.07,8454.99,8199.18,927.7,10312.48,13103.16,Self-employed,24,rejected,79.08,0.255686531,0.201231019
63,Doctor,Medium,Income generation,104466.17,100000,22144.07,22774.48,15782.58,3075.15,10302.29,49602.51,Self-employed,12,rejected,-630.41,0.49602014,0.10302187
77,Engineer,Low,Income generation,41351.39,55540.16,26796.9,13546.05,10020.02,600.43,10483.9,15313.79,Employed,60,approved,13250.85,0.275719664,0.188759111
60,Engineer,High,Income generation,65237.05,19116.4,3756.8,5287.37,4373.61,220.03,3892.27,50000,Self-employed,12,rejected,-1530.57,2.615418415,0.203598293
44,Lawyer,Low,Wealth preservation,41286.78,34195.68,10828.94,5614.05,3784.53,921.47,2287.73,21057.01,Self-employed,60,rejected,5214.89,0.615761822,0.066899184
21,Teacher,Low,Income generation,110611.12,96437.66,19887.64,22217.74,17141.66,4868.32,12928.56,50000,Self-employed,60,rejected,-2330.1,0.518464276,0.13405993
55,Lawyer,High,Wealth preservation,100336.37,47560.37,20259.94,10256.99,7684.09,1799.47,6644.12,24734.8,Retired,36,pending,10002.95,0.520060713,0.139695724
80,Retiree,Medium,Growth,83393.91,31257.77,9443.87,7130.03,2323.49,172.36,3959.22,50000,Retired,48,rejected,2313.84,1.599551102,0.126659494
76,Student,Medium,Speculation,110684.84,19670.89,8779.57,1313.34,4051.67,760.7,1150.19,24094.87,Self-employed,48,rejected,7466.23,1.224837573,0.058468708
40,Student,Medium,Speculation,80454.41,100000,11027.63,23398.45,15278.47,3849.67,10511.86,50000,Retired,36,rejected,-12370.82,0.499995,0.105117549
68,Retiree,Low,Growth,121917.5,100000,14870.4,5268.64,22867.62,4963.31,17817.5,50000,Retired,36,rejected,9601.76,0.499995,0.178173218
56,Lawyer,High,Speculation,81018.96,100000,12349.07,24052.1,6248.73,1158.09,11147.9,8184.1,Unemployed,12,rejected,-11703.03,0.081840182,0.111477885
85,Lawyer,Medium,Speculation,97235.41,96932.91,11369.76,8250.1,18691.75,3065.51,18163.76,28814.81,Retired,60,approved,3119.66,0.297262434,0.187382929
43,Teacher,Medium,Income generation,102821.7,100000,38768.54,22466.87,8547.68,2561.59,15397.4,50000,Self-employed,12,approved,16301.67,0.499995,0.15397246
45,Doctor,Medium,Growth,77725.77,31224.54,9218.27,2117.66,6650.57,693.1,2226.08,29932.63,Self-employed,36,pending,7100.61,0.958594471,0.07129036
60,Student,Medium,Income generation,103700,48854.36,12870.55,4030.87,9453.7,684.01,4741.78,50000,Unemployed,36,rejected,8839.68,1.023429159,0.097057518
67,Artist,Low,Speculation,42826.55,62616.81,8418.32,13473.94,7310.46,691.39,5364.4,10560.52,Unemployed,60,approved,-5055.62,0.168650421,0.085668918
53,Engineer,Medium,Income generation,67280.32,47449.74,12948.51,2536.01,7038.74,1721.52,9339.36,50000,Unemployed,60,rejected,10412.5,1.053724347,0.19682222
53,Doctor,High,Income generation,91863.06,100000,25275.79,7291.23,15249.41,3578.24,33282.59,50000,Employed,12,approved,17984.56,0.499995,0.332822572
25,Artist,Low,Growth,99371.13,28756.3,7952.01,3995.41,4223.55,987.15,2740.21,50000,Self-employed,36,approved,3956.6,1.738688959,0.095287457
27,Doctor,High,Wealth preservation,49791.21,83673.75,13574.95,15349.73,20692.23,2702.39,11456.06,43776.09,Retired,60,pending,-1774.78,0.523169654,0.136911792
67,Retiree,Low,Speculation,91480.58,55465.35,10036.49,13052.41,3994.84,357.7,7464.29,50000,Unemployed,36,pending,-3015.92,0.901447454,0.134573304
39,Retiree,High,Wealth preservation,67843.81,33343.74,11736.47,4117.96,7233.53,899.98,7187.59,50000,Unemployed,60,pending,7618.51,1.499486876,0.215553937
56,Engineer,Low,Growth,40394.69,8048.16,3655.05,1888.25,1341.49,269.68,954.88,30146.31,Retired,60,rejected,1766.8,3.745274041,0.118631012
48,Student,Low,Speculation,60790.64,88386.64,43245.4,20783,15598.99,2326.26,7000.65,50000,Self-employed,48,pending,22462.4,0.565689954,0.079203948
36,Student,High,Wealth preservation,105475.8,46270.16,19473.99,10558.59,10820.15,1734.01,11475.04,50000,Employed,60,rejected,8915.4,1.080586698,0.247995512
22,Teacher,Medium,Speculation,57777.28,55692.03,11293.36,5321.99,12115.7,832.81,10991.24,50000,Retired,36,pending,5971.37,0.897778411,0.19735396
73,Retiree,Medium,Income generation,75681.58,100000,36404.67,16903.02,12982.83,3076.72,6439.72,50000,Unemployed,48,pending,19501.65,0.499995,0.064396556
65,Doctor,Low,Income generation,131765.67,100000,10938.12,10612.2,5441.74,1418.05,11683.1,50000,Employed,24,rejected,325.92,0.499995,0.116829832
21,Retiree,Low,Speculation,112473.33,100000,43194.47,14792.19,21487.26,3544.9,6242.44,14171.62,Self-employed,24,approved,28402.28,0.141714783,0.062423776
68,Engineer,Medium,Growth,97217.09,100000,26467.35,12572.37,20679.34,1864.17,16917.13,50000,Unemployed,60,pending,13894.98,0.499995,0.169169608
71,Student,Medium,Wealth preservation,42058.93,34949.2,4808.2,6289.2,4214.67,213.25,3427.61,14752.39,Retired,24,approved,-1481,0.422097442,0.098071256
55,Student,Medium,Speculation,55428.84,41031.84,4310.15,7572.9,4307.17,78.03,7410.5,50000,Self-employed,48,pending,-3262.75,1.218536177,0.180599247
24,Doctor,Medium,Growth,41730.24,58001.92,7955.77,3896.28,13444.02,1776.15,7710.48,50000,Self-employed,48,rejected,4059.49,0.862025567,0.132932618
49,Retiree,High,Income generation,60090.87,36692.62,12772.98,2225.83,5217.53,896.51,13954.7,50000,Employed,48,approved,10547.15,1.362634703,0.38030317
70,Teacher,High,Wealth preservation,37837.28,53228.89,13137.04,4483.56,10071.31,133.34,3225.62,37862.72,Retired,48,approved,8653.48,0.711305622,0.060597908
58,Student,Medium,Speculation,104312.78,100000,33146.09,26121.82,5285.88,1229.91,7110.06,19255.5,Employed,12,pending,7024.27,0.192553074,0.071099889
63,Student,Low,Wealth preservation,51394.25,77404.97,12786.11,19572.06,11815.83,1408.28,12209.02,32577.26,Retired,12,pending,-6785.95,0.42086237,0.157727111
31,Doctor,High,Wealth preservation,40196.86,56053.82,15252.86,9343.13,11481.67,463.36,13302.27,28051.66,Self-employed,24,rejected,5909.73,0.500432612,0.237308228
52,Artist,High,Wealth preservation,56581.3,83449.63,26858.75,4594.88,4385.01,393.61,31520.55,50000,Retired,36,pending,22263.87,0.599156651,0.377714944
24,Lawyer,High,Wealth preservation,27389.95,15268.31,6997.62,3446.35,2753.58,186.19,6105.9,21851.68,Employed,12,approved,3551.27,1.431084967,0.399880545
32,Retiree,High,Speculation,88715.42,100000,28319.73,6470.98,7494.78,2067.97,38738.92,39317.71,Retired,36,pending,21848.75,0.393173168,0.387385326
32,Artist,High,Growth,29096.47,11058.08,3745.67,1862.57,2480.46,202.8,2109.85,11445.71,Retired,36,rejected,1883.1,1.034960413,0.190779884
50,Doctor,Medium,Income generation,89254.41,72875.19,9458.76,9152.95,15512.69,3971.21,11819.58,50000,Retired,60,rejected,305.81,0.686095143,0.162187129
53,Lawyer,Low,Speculation,84138.41,56413.68,6589.32,11356.95,4947.51,88.09,5154.47,15069.66,Retired,24,rejected,-4767.63,0.267123025,0.091367531
74,Student,Medium,Wealth preservation,50082.46,52548.54,18867.08,4060.41,3552.57,717.2,6413.48,50000,Retired,24,rejected,14806.67,0.951483115,0.122046359
52,Teacher,Low,Wealth preservation,78102.35,21006.94,2499.57,3968.62,1613.63,9.36,2598.03,44289.9,Self-employed,60,pending,-1469.05,2.108245739,0.123668956
30,Doctor,High,Income generation,83031.48,87136.64,29221.21,8547.17,13290.34,2740.65,29873.45,26824.85,Employed,48,rejected,20674.04,0.307844578,0.342830607
52,Lawyer,Low,Income generation,16710.45,20869.06,7775.35,2957.44,3524.91,58.87,3638.05,14288.91,Unemployed,48,rejected,4817.91,0.684660705,0.174319096
47,Retiree,Low,Income generation,105445.87,70836.44,35268.66,6041.79,13562.99,2803,6014.94,50000,Employed,60,approved,29226.87,0.705841431,0.084911877
38,Student,High,Wealth preservation,61713.54,100000,47520.82,20744.04,7441.57,540.2,35615.71,50000,Unemployed,24,approved,26776.78,0.499995,0.356153538
23,Student,High,Wealth preservation,77127.4,100000,11386.51,7390.95,5624.21,318.02,15053.01,50000,Employed,36,approved,3995.56,0.499995,0.150528595
72,Engineer,Low,Wealth preservation,115340.44,100000,38239.41,26142.87,12980.15,2379.42,7597.96,50000,Unemployed,36,rejected,12096.54,0.499995,0.07597884
54,Retiree,Low,Wealth preservation,68446.72,100000,33919.18,9883.4,24063.35,1661.75,17320.65,50000,Unemployed,48,rejected,24035.78,0.499995,0.173204768
27,Doctor,Medium,Income generation,66445.98,41483.37,18181.84,8326.76,9823.18,2878.51,4878.42,50000,Retired,60,approved,9855.08,1.205273215,0.117596579
73,Student,High,Speculation,52996.83,25031.71,3157.65,2578.09,3776.15,959.95,7123.43,27763.68,Self-employed,24,approved,579.56,1.109096059,0.284564875
29,Doctor,High,Growth,64448.01,41587.72,14786.27,5541.34,2762.14,649.67,14255.76,29741.36,Retired,60,rejected,9244.93,0.715130449,0.342779484
40,Student,Medium,Wealth preservation,119929.16,54562.12,11605.94,4547.88,5267.36,566.67,7800.16,50000,Retired,12,rejected,7058.06,0.916369885,0.142956634
41,Retiree,Medium,Income generation,105486.75,100000,25885.97,12477.26,13490.87,2052.78,8309.13,50000,Unemployed,48,rejected,13408.71,0.499995,0.083090469
54,Engineer,High,Income generation,49417.92,31877.91,4822.63,7919.97,2443.46,30.24,10922.83,25995.67,Self-employed,60,pending,-3097.34,0.815450403,0.34263499
65,Student,High,Income generation,51967.38,85970.07,29209.97,11457.71,11586.97,1824.15,14012.47,50000,Retired,48,pending,17752.26,0.581590993,0.162990527
44,Artist,High,Wealth preservation,46759.92,9562.05,4637.28,636.93,1670.31,376.96,1626.05,50000,Employed,24,rejected,4000.35,5.228457448,0.170034665
69,Artist,High,Income generation,53546.98,79280.39,14149.79,13833.74,6344.83,563.29,6287.82,31914.51,Unemployed,48,approved,316.05,0.402547306,0.079310163
25,Lawyer,Medium,Speculation,76135.8,65392.61,16693.82,18561.96,3316.29,370.41,10771.06,21894.41,Retired,36,approved,-1868.14,0.334809624,0.1647112
45,Engineer,Low,Income generation,76155.71,78642,16496.07,4086.77,4751.83,469,12153.36,50000,Retired,60,approved,12409.3,0.635784494,0.154538357
52,Teacher,Medium,Wealth preservation,25430.1,25407.75,2891.82,4182.84,5447.61,1167.81,4567.44,30506.28,Retired,48,pending,-1291.02,1.200621046,0.179758548
58,Retiree,Low,Wealth preservation,21832.25,20555.25,8028.08,4146.36,2860.18,404.34,3641.06,20591.08,Self-employed,12,pending,3881.72,1.001694375,0.177126665
48,Doctor,Medium,Growth,85401.46,100000,48836.39,15841.38,23145.8,1629.7,17196.81,12549.66,Employed,36,pending,32995.01,0.125495345,0.17196638
23,Engineer,Medium,Income generation,75093.36,76348.49,9663.36,8370.09,14441.99,3239.14,6261.76,50000,Retired,12,pending,1293.27,0.654883222,0.082014431
76,Teacher,Medium,Speculation,68639.56,8335.23,2178.9,1252.87,1581.48,226.26,677.9,50000,Employed,48,approved,926.03,5.997915125,0.081319733
68,Retiree,Low,Wealth preservation,81156.89,97280.68,22751.33,17745.4,13362.63,3160.06,4931.7,48703.06,Unemployed,60,pending,5005.93,0.500639586,0.050695054
24,Student,Medium,Speculation,66597.52,100000,38847.84,28154.96,7155.94,1143.19,15548.4,29708.76,Employed,60,approved,10692.88,0.297084629,0.155482445
55,Engineer,High,Wealth preservation,95336.12,100000,35763.13,8527.22,13605.96,2880.87,32335.35,50000,Self-employed,24,rejected,27235.91,0.499995,0.323350266
77,Retiree,Medium,Income generation,55326.75,67910.83,33551.38,5369.9,14839.56,1717.25,9635.03,50000,Retired,48,approved,28181.48,0.736248751,0.141875576
79,Doctor,Low,Income generation,10224.74,12434.49,3045.1,2653.56,843.39,207.4,677.59,6023.92,Retired,60,approved,391.54,0.484413562,0.054488404
35,Engineer,Low,Growth,97866.47,25283.1,9584.01,7246.5,5803.68,178.23,4297.37,50000,Unemployed,48,rejected,2337.51,1.977527379,0.169963337
18,Doctor,High,Income generation,107455.34,96717.31,39766.28,6297.56,16429.18,2159.93,35697.49,50000,Retired,48,pending,33468.72,0.516965195,0.369087198
63,Artist,High,Wealth preservation,48011.6,40260.42,5233.54,2446.35,5145.46,1043.28,9820.63,50000,Retired,60,rejected,2787.19,1.241883669,0.2439216
74,Doctor,Low,Income generation,55836.14,100000,31947.87,8405.83,17165.5,2684.38,5567.01,28492.06,Retired,24,approved,23542.04,0.284917751,0.055669543
75,Engineer,Medium,Speculation,70430.61,100000,41786.81,18292.83,9209.55,1236.83,5774.74,28046.92,Retired,12,pending,23493.98,0.280466395,0.057746823
85,Lawyer,High,Speculation,29542.5,38745.05,10644.86,10367.81,4021.58,395.38,10875.7,31160.38,Retired,36,approved,277.05,0.804220817,0.280691838
52,Engineer,Low,Speculation,33850.04,34233.55,13966.7,7236.43,2764.77,253.9,4145.65,46742.41,Unemployed,60,pending,6730.27,1.365357804,0.121095501
19,Student,High,Wealth preservation,144041.36,100000,18028.84,13208.12,8794.44,980.33,11797.17,50000,Self-employed,36,approved,4820.72,0.499995,0.11797052
82,Retiree,Medium,Income generation,102689.54,100000,44518.26,20056.46,11322.03,1671.95,18349.02,50000,Employed,24,approved,24461.8,0.499995,0.183488365
62,Retiree,High,Growth,85390.09,25396.08,11627.5,4800.83,5257.66,1134.89,2110.93,11037.68,Self-employed,24,approved,6826.67,0.434604293,0.083117036
75,Student,High,Wealth preservation,80579.45,21697.97,8943.75,2227.85,1230.5,313.69,2323.22,50000,Retired,36,approved,6715.9,2.304256838,0.107065911
80,Artist,High,Income generation,51675.44,77528.66,38212.57,19396.91,10690.13,2501.66,24683.39,50000,Employed,12,approved,18815.66,0.644914475,0.31837351
35,Engineer,Medium,Growth,76977.65,17477.93,3211.96,2919.98,2978.52,667.27,1307.8,34456.76,Retired,24,rejected,291.98,1.971331197,0.074821514
57,Student,Medium,Growth,49724.54,83315.45,17649.72,20734.37,8554.58,2517.29,11533.99,50000,Unemployed,24,approved,-3084.65,0.600121585,0.138435927
83,Doctor,High,Growth,82661.78,90155.17,10378.06,21711.99,14562.43,1190.51,16350.57,50000,Unemployed,60,approved,-11333.93,0.554593213,0.181358303
66,Student,High,Wealth preservation,39015.6,52093.88,10350.81,12763.11,10302.57,2726.54,11999.48,15459.43,Self-employed,36,rejected,-2412.3,0.296755267,0.230338951
45,Doctor,Medium,Income generation,36232.99,16600.02,7713.12,3713.67,1697.19,480.27,2736.3,35172.41,Retired,60,rejected,3999.45,2.118689695,0.164827221
70,Student,Low,Wealth preservation,114517.79,25824.68,7384.77,3811.09,5760.36,1163.99,4788.93,50000,Retired,24,pending,3573.68,1.936057444,0.185432871
42,Doctor,Low,Income generation,78001.37,42113.95,7271.01,7416.69,3608.11,1065.01,4997.82,34293.57,Retired,36,pending,-145.68,0.814284951,0.118670923
36,Lawyer,High,Wealth preservation,87381.31,9863.97,1463.09,2119.54,2123.58,133.04,2282.99,50000,Unemployed,60,approved,-656.45,5.068439134,0.231423917
48,Retiree,Medium,Wealth preservation,70883.01,1000,394.17,280.58,218.45,26,112.13,5000,Retired,24,pending,113.59,4.995004995,0.112017982
36,Artist,Low,Speculation,62360.73,38355.95,14127.34,6772.95,8900.66,800.12,6215.35,50000,Self-employed,60,approved,7354.39,1.303544729,0.162039735
52,Lawyer,High,Growth,62008.97,100000,11921.76,8999.99,19713.19,1437.26,6876.86,26632.91,Employed,36,approved,2921.77,0.266326437,0.068767912
50,Retiree,Low,Income generation,94960.8,72745.52,34188.7,10667.43,15611.7,3980.55,12175.78,50000,Self-employed,12,approved,23521.27,0.687318101,0.16737268
61,Engineer,Medium,Wealth preservation,102207.98,40107.38,12336.99,2956.7,6412.22,1264.63,4384.84,50000,Unemployed,60,approved,9380.29,1.246622277,0.109324784
45,Retiree,Medium,Growth,59286.87,99916.36,38508.17,20558.45,5992.06,851.29,17085.98,18574.5,Retired,24,approved,17949.72,0.185898627,0.171001115
65,Doctor,Medium,Growth,67185.03,32980.08,8746.82,3829.63,3927.08,529.24,5555.19,50000,Unemployed,48,approved,4917.19,1.5160207,0.168435661
23,Artist,High,Speculation,106727.37,11944.96,2180.31,3272.45,659.88,113.57,4417.46,50000,Unemployed,60,approved,-1092.14,4.185515438,0.369786941
56,Engineer,High,Wealth preservation,89915.58,100000,19593.49,17095.29,5547.3,351.71,14856.99,50000,Employed,12,rejected,2498.2,0.499995,0.148568414
79,Doctor,Medium,Speculation,38054.34,26266.87,2997.86,1771.38,4745.61,1387.55,3542.56,37673.81,Employed,60,pending,1226.48,1.434216402,0.134862857
21,Doctor,High,Speculation,90941.04,53802.67,19699.34,4416.46,12769.07,2818.71,20217.97,50000,Employed,24,approved,15282.88,0.929304637,0.375773065
77,Doctor,High,Wealth preservation,73759.63,32016.46,12015.6,1959.11,7700.52,312,6150.53,21291.61,Retired,24,pending,10056.49,0.664999972,0.192099248
74,Student,Low,Speculation,64024.14,40638.33,6970.14,6901.33,9981.96,2682,7178.13,23613.11,Self-employed,12,approved,68.81,0.581040829,0.176630127
44,Teacher,Medium,Growth,53099.36,22752.09,7595.27,2988.69,3165.18,620.05,1470.24,50000,Self-employed,24,pending,4606.58,2.197503724,0.064617157
52,Artist,Low,Wealth preservation,49099.63,32671.16,12879.45,9387.24,1692.97,49.32,3711.24,50000,Retired,24,approved,3492.21,1.530354895,0.113590286
71,Doctor,Low,Income generation,131786.03,75495.76,34943.84,20650.28,17440.05,4975.16,10144.64,50000,Retired,24,approved,14293.56,0.662280077,0.134371859
77,Doctor,High,Speculation,87647.25,23322.7,9115.18,4488.13,3352.87,878.01,8220.06,50000,Retired,24,approved,4627.05,2.143742202,0.352433791
21,Artist,Medium,Income generation,66015.13,85848.04,36091.57,8799.4,14271.4,43.62,11573.38,41775.32,Employed,60,pending,27292.17,0.486613712,0.134810826
24,Student,Medium,Growth,84392.89,86182.3,15451.41,10943.99,19863.31,1094.89,4735.27,15528.38,Self-employed,24,approved,4507.42,0.180178526,0.054944171
35,Artist,Medium,Income generation,35504.76,38246.51,8412.23,4454.91,6960.9,1095.9,2765.48,5246.3,Employed,36,approved,3957.32,0.137167099,0.072304838
28,Teacher,Medium,Speculation,39324.72,76652.52,11096.59,10036.92,6086.72,237.77,8411.66,14722.75,Self-employed,48,pending,1059.67,0.192068805,0.109736122
68,Student,Low,Income generation,96741.9,22105.79,5849.92,3641.44,5404.15,554.92,1617.48,50000,Unemployed,60,pending,2208.48,2.26174854,0.073166661
59,Lawyer,Medium,Wealth preservation,107093.15,100000,22814.39,12819.2,22381.3,2186.43,8021.03,50000,Retired,36,pending,9995.19,0.499995,0.080209498
24,Doctor,High,Wealth preservation,91998.84,89649.98,21054.79,13673.32,6532.07,1751.01,23027.73,50000,Retired,36,rejected,7381.47,0.557718387,0.256859769
68,Retiree,Medium,Growth,112684.16,100000,12146.07,12300.32,21413.69,4232.29,18404.74,43482.3,Unemployed,36,rejected,-154.25,0.434818652,0.18404556
80,Teacher,Medium,Speculation,47376.75,55171.43,14699.54,14070.41,2940.49,508.04,4767.21,42268.08,Self-employed,12,approved,629.13,0.766108725,0.086405656
78,Retiree,Medium,Income generation,40925.05,75502.25,28182.2,7485.04,18182.01,3204.08,4097.6,10835.04,Unemployed,60,rejected,20697.16,0.143504286,0.054270512
